Year,Category,Nominee
1962 (35th),Music (Scoring),Lawrence of Arabia
1962 (35th),Music (Scoring),Meredith Willson's The Music Man
1962 (35th),Music (Song),Days of Wine and Roses
1962 (35th),Best Picture,Lawrence of Arabia
1962 (35th),Short Film (Animated),The Hole
1962 (35th),Short Film (Live Action),Heureux Anniversaire (Happy Anniversary)
1962 (35th),Sound,Lawrence of Arabia
1962 (35th),Writing,To Kill a Mockingbird
1962 (35th),Writing,Divorce--Italian Style
1961 (34th),Actor -- Leading Role,Maximilian Schell
1961 (34th),Actor -- Supporting Role,George Chakiris
1961 (34th),Actress -- Leading Role,Sophia Loren
1961 (34th),Actress -- Supporting Role,Rita Moreno
1961 (34th),Art Direction,The Hustler
1961 (34th),Art Direction,West Side Story
1961 (34th),Cinematography,The Hustler
1961 (34th),Cinematography,West Side Story
1961 (34th),Costume Design,La Dolce Vita
1961 (34th),Costume Design,West Side Story
1961 (34th),Directing,West Side Story
1961 (34th),Documentary (Feature),Le Ciel et la Boue (Sky Above and Mud Beneath)
1961 (34th),Documentary (Short Subject),Project Hope
1961 (34th),Film Editing,West Side Story
1961 (34th),Foreign Language Film,Through a Glass Darkly
1961 (34th),Music (Scoring),Breakfast at Tiffany's
1961 (34th),Music (Scoring),West Side Story
1961 (34th),Music (Song),Breakfast at Tiffany's
1961 (34th),Best Picture,West Side Story
1961 (34th),Short Film (Animated),Ersatz (The Substitute)
1961 (34th),Short Film (Live Action),Seawards the Great Ships
1961 (34th),Sound,West Side Story
1961 (34th),Writing,Judgment at Nuremberg
1961 (34th),Writing,Splendor in the Grass
1961 (34th),Irving G. Thalberg Memorial Award,Stanley Kramer
1960 (33rd),Actor -- Leading Role,Burt Lancaster
1960 (33rd),Actor -- Supporting Role,Peter Ustinov
1960 (33rd),Actress -- Leading Role,Elizabeth Taylor
1960 (33rd),Actress -- Supporting Role,Shirley Jones
1960 (33rd),Art Direction,The Apartment
1960 (33rd),Art Direction,Spartacus
1960 (33rd),Cinematography,Sons and Lovers
1960 (33rd),Cinematography,Spartacus
1960 (33rd),Costume Design,The Facts of Life
1960 (33rd),Costume Design,Spartacus
1960 (33rd),Directing,The Apartment
1960 (33rd),Documentary (Feature),The Horse with the Flying Tail
1960 (33rd),Documentary (Short Subject),Giuseppina
1960 (33rd),Film Editing,The Apartment
1960 (33rd),Foreign Language Film,The Virgin Spring
1960 (33rd),Music (Scoring),Exodus
1960 (33rd),Music (Scoring),Song without End (The Story of Franz Liszt)
1960 (33rd),Music (Song),Never on Sunday
1960 (33rd),Best Picture,The Apartment
1960 (33rd),Short Film (Animated),Munro
1960 (33rd),Short Film (Live Action),Day of the Painter
1960 (33rd),Sound,The Alamo
1960 (33rd),Writing,Elmer Gantry
1960 (33rd),Writing,The Apartment
1959 (32nd),Actor -- Leading Role,Charlton Heston
1959 (32nd),Actor -- Supporting Role,Hugh Griffith
1959 (32nd),Actress -- Leading Role,Simone Signoret
1959 (32nd),Actress -- Supporting Role,Shelley Winters
1959 (32nd),Art Direction,The Diary of Anne Frank
1959 (32nd),Art Direction,Ben-Hur
1959 (32nd),Cinematography,The Diary of Anne Frank
1959 (32nd),Cinematography,Ben-Hur
1959 (32nd),Costume Design,Some Like It Hot
1959 (32nd),Costume Design,Ben-Hur
1959 (32nd),Directing,Ben-Hur
1959 (32nd),Documentary (Feature),Serengeti Shall Not Die
1959 (32nd),Documentary (Short Subject),Glass
1959 (32nd),Film Editing,Ben-Hur
1959 (32nd),Foreign Language Film,Black Orpheus
1959 (32nd),Music (Scoring),Ben-Hur
1959 (32nd),Music (Scoring),Porgy and Bess
1959 (32nd),Music (Song),A Hole in the Head
1959 (32nd),Best Picture,Ben-Hur
1959 (32nd),Short Film (Animated),Moonbird
1959 (32nd),Short Film (Live Action),The Golden Fish
1959 (32nd),Sound,Ben-Hur
1959 (32nd),Writing,Room at the Top
1959 (32nd),Writing,Pillow Talk
1958 (31st),Actor -- Leading Role,David Niven
1958 (31st),Actor -- Supporting Role,Burl Ives
1958 (31st),Actress -- Leading Role,Susan Hayward
1958 (31st),Actress -- Supporting Role,Wendy Hiller
1958 (31st),Art Direction,Gigi
1958 (31st),Cinematography,The Defiant Ones
1958 (31st),Cinematography,Gigi
1958 (31st),Costume Design,Gigi
1958 (31st),Directing,Gigi
1958 (31st),Documentary (Feature),White Wilderness
1958 (31st),Documentary (Short Subject),Ama Girls
1958 (31st),Film Editing,Gigi
1958 (31st),Foreign Language Film,My Uncle
1958 (31st),Music (Scoring),The Old Man and the Sea
1958 (31st),Music (Scoring),Gigi
1958 (31st),Music (Song),Gigi
1958 (31st),Best Picture,Gigi
1958 (31st),Short Film (Animated),Knighty Knight Bugs
1958 (31st),Short Film (Live Action),Grand Canyon
1958 (31st),Sound,South Pacific
1958 (31st),Writing,Gigi
1958 (31st),Writing,The Defiant Ones
1958 (31st),Irving G. Thalberg Memorial Award,Jack L. Warner
1957 (30th),Actor -- Leading Role,Alec Guinness
1957 (30th),Actor -- Supporting Role,Red Buttons
1957 (30th),Actress -- Leading Role,Joanne Woodward
1957 (30th),Actress -- Supporting Role,Miyoshi Umeki
1957 (30th),Art Direction,Sayonara
1957 (30th),Cinematography,The Bridge on the River Kwai
1957 (30th),Costume Design,Les Girls
1957 (30th),Directing,The Bridge on the River Kwai
1957 (30th),Documentary (Feature),Albert Schweitzer
1957 (30th),Film Editing,The Bridge on the River Kwai
1957 (30th),Foreign Language Film,The Nights of Cabiria
1957 (30th),Music (Scoring),The Bridge on the River Kwai
1957 (30th),Music (Song),The Joker Is Wild
1957 (30th),Best Picture,The Bridge on the River Kwai
1957 (30th),Short Film (Animated),Birds Anonymous
1957 (30th),Short Film (Live Action),The Wetback Hound
1957 (30th),Sound,Sayonara
1957 (30th),Writing,The Bridge on the River Kwai
1957 (30th),Writing,Designing Woman
1956 (29th),Actor -- Leading Role,Yul Brynner
1956 (29th),Actor -- Supporting Role,Anthony Quinn
1956 (29th),Actress -- Leading Role,Ingrid Bergman
1956 (29th),Actress -- Supporting Role,Dorothy Malone
1956 (29th),Art Direction,Somebody Up There Likes Me
1956 (29th),Art Direction,The King and I
1956 (29th),Cinematography,Somebody Up There Likes Me
1956 (29th),Cinematography,Around the World in 80 Days
1956 (29th),Costume Design,The Solid Gold Cadillac
1956 (29th),Costume Design,The King and I
1956 (29th),Directing,Giant
1956 (29th),Documentary (Feature),The Silent World
1956 (29th),Documentary (Short Subject),The True Story of the Civil War
1956 (29th),Film Editing,Around the World in 80 Days
1956 (29th),Foreign Language Film,La Strada
1956 (29th),Music (Scoring),Around the World in 80 Days
1956 (29th),Music (Scoring),The King and I
1956 (29th),Music (Song),The Man Who Knew Too Much
1956 (29th),Best Picture,Around the World in 80 Days
1956 (29th),Short Film (Animated),Mister Magoo's Puddle Jumper
1956 (29th),Short Film (Live Action),Crashing the Water Barrier
1956 (29th),Short Film (Live Action),The Bespoke Overcoat
1956 (29th),Sound,The King and I
1956 (29th),Writing,The Brave One
1956 (29th),Writing,Around the World in 80 Days
1956 (29th),Writing,The Red Balloon
1956 (29th),Irving G. Thalberg Memorial Award,Buddy Adler
1955 (28th),Actor -- Leading Role,Ernest Borgnine
1955 (28th),Actor -- Supporting Role,Jack Lemmon
1955 (28th),Actress -- Leading Role,Anna Magnani
1955 (28th),Actress -- Supporting Role,Jo Van Fleet
1955 (28th),Art Direction,The Rose Tattoo
1955 (28th),Art Direction,Picnic
1955 (28th),Cinematography,The Rose Tattoo
1955 (28th),Cinematography,To Catch a Thief
1955 (28th),Costume Design,I'll Cry Tomorrow
1955 (28th),Costume Design,Love Is a Many-Splendored Thing
1955 (28th),Directing,Marty
1955 (28th),Documentary (Feature),Helen Keller in Her Story
1955 (28th),Documentary (Short Subject),Men against the Arctic
1955 (28th),Film Editing,Picnic
1955 (28th),Foreign Language Film,"To Samurai, The Legend of Musashi - Best Foreign Language Film first released in the United States during 1955."
1955 (28th),Music (Scoring),Love Is a Many-Splendored Thing
1955 (28th),Music (Scoring),Oklahoma!
1955 (28th),Music (Song),Love Is a Many-Splendored Thing
1955 (28th),Best Picture,Marty
1955 (28th),Short Film (Animated),Speedy Gonzales
1955 (28th),Short Film (Live Action),Survival City
1955 (28th),Short Film (Live Action),The Face of Lincoln
1955 (28th),Sound,Oklahoma!
1955 (28th),Writing,Love Me or Leave Me
1955 (28th),Writing,Marty
1955 (28th),Writing,Interrupted Melody
1954 (27th),Actor -- Leading Role,Marlon Brando
1954 (27th),Actor -- Supporting Role,Edmond O'Brien
1954 (27th),Actress -- Leading Role,Grace Kelly
1954 (27th),Actress -- Supporting Role,Eva Marie Saint
1954 (27th),Art Direction,On the Waterfront
1954 (27th),Art Direction,"20,000 Leagues under the Sea"
1954 (27th),Cinematography,On the Waterfront
1954 (27th),Cinematography,Three Coins in the Fountain
1954 (27th),Costume Design,Sabrina
1954 (27th),Costume Design,Gate of Hell
1954 (27th),Directing,On the Waterfront
1954 (27th),Documentary (Feature),The Vanishing Prairie
1954 (27th),Documentary (Short Subject),Thursday's Children
1954 (27th),Film Editing,On the Waterfront
1954 (27th),Foreign Language Film,To Gate of Hell - Best Foreign Language Film first released in the United States during 1954.
1954 (27th),Music (Scoring),The High and the Mighty
1954 (27th),Music (Scoring),Seven Brides for Seven Brothers
1954 (27th),Music (Song),Three Coins in the Fountain
1954 (27th),Best Picture,On the Waterfront
1954 (27th),Short Film (Animated),When Magoo Flew
1954 (27th),Short Film (Live Action),This Mechanical Age
1954 (27th),Short Film (Live Action),A Time Out of War
1954 (27th),Sound,The Glenn Miller Story
1954 (27th),Writing,Broken Lance
1954 (27th),Writing,The Country Girl
1954 (27th),Writing,On the Waterfront
1953 (26th),Actor -- Leading Role,William Holden
1953 (26th),Actor -- Supporting Role,Frank Sinatra
1953 (26th),Actress -- Leading Role,Audrey Hepburn
1953 (26th),Actress -- Supporting Role,Donna Reed
1953 (26th),Art Direction,Julius Caesar
1953 (26th),Art Direction,The Robe
1953 (26th),Cinematography,From Here to Eternity
1953 (26th),Cinematography,Shane
1953 (26th),Costume Design,Roman Holiday
1953 (26th),Costume Design,The Robe
1953 (26th),Directing,From Here to Eternity
1953 (26th),Documentary (Feature),The Living Desert
1953 (26th),Documentary (Short Subject),The Alaskan Eskimo
1953 (26th),Film Editing,From Here to Eternity
1953 (26th),Music (Scoring),Lili
1953 (26th),Music (Scoring),Call Me Madam
1953 (26th),Music (Song),Calamity Jane
1953 (26th),Best Picture,From Here to Eternity
1953 (26th),Short Film (Animated),"Toot, Whistle, Plunk and Boom"
1953 (26th),Short Film (Live Action),The Merry Wives of Windsor Overture
1953 (26th),Short Film (Live Action),Bear Country
1953 (26th),Sound,From Here to Eternity
1953 (26th),Writing,Roman Holiday
1953 (26th),Writing,From Here to Eternity
1953 (26th),Writing,Titanic
1953 (26th),Irving G. Thalberg Memorial Award,George Stevens
1952 (25th),Actor -- Leading Role,Gary Cooper
1952 (25th),Actor -- Supporting Role,Anthony Quinn
1952 (25th),Actress -- Leading Role,Shirley Booth
1952 (25th),Actress -- Supporting Role,Gloria Grahame
1952 (25th),Art Direction,The Bad and the Beautiful
1952 (25th),Art Direction,Moulin Rouge
1952 (25th),Cinematography,The Bad and the Beautiful
1952 (25th),Cinematography,The Quiet Man
1952 (25th),Costume Design,The Bad and the Beautiful
1952 (25th),Costume Design,Moulin Rouge
1952 (25th),Directing,The Quiet Man
1952 (25th),Documentary (Feature),The Sea around Us
1952 (25th),Documentary (Short Subject),Neighbours
1952 (25th),Film Editing,High Noon
1952 (25th),Foreign Language Film,Forbidden Games - Best Foreign Language Film first released in the United States during 1952.
1952 (25th),Music (Scoring),High Noon
1952 (25th),Music (Scoring),With a Song in My Heart
1952 (25th),Music (Song),High Noon
1952 (25th),Best Picture,The Greatest Show on Earth
1952 (25th),Short Film (Animated),Johann Mouse
1952 (25th),Short Film (Live Action),Light in the Window: The Art of Vermeer
1952 (25th),Short Film (Live Action),Water Birds
1952 (25th),Sound,Breaking the Sound Barrier
1952 (25th),Writing,The Greatest Show on Earth
1952 (25th),Writing,The Bad and the Beautiful
1952 (25th),Writing,The Lavender Hill Mob
1952 (25th),Irving G. Thalberg Memorial Award,Cecil B. DeMille
1951 (24th),Actor -- Leading Role,Humphrey Bogart
1951 (24th),Actor -- Supporting Role,Karl Malden
1951 (24th),Actress -- Leading Role,Vivien Leigh
1951 (24th),Actress -- Supporting Role,Kim Hunter
1951 (24th),Art Direction,A Streetcar Named Desire
1951 (24th),Art Direction,An American in Paris
1951 (24th),Cinematography,A Place in the Sun
1951 (24th),Cinematography,An American in Paris
1951 (24th),Costume Design,A Place in the Sun
1951 (24th),Costume Design,An American in Paris
1951 (24th),Directing,A Place in the Sun
1951 (24th),Documentary (Feature),Kon-Tiki
1951 (24th),Documentary (Short Subject),Benjy
1951 (24th),Film Editing,A Place in the Sun
1951 (24th),Foreign Language Film,To Rashomon - voted by the Board of Governors as the most outstanding foreign language film released in the United States during 1951.
1951 (24th),Music (Scoring),A Place in the Sun
1951 (24th),Music (Scoring),An American in Paris
1951 (24th),Music (Song),Here Comes the Groom
1951 (24th),Best Picture,An American in Paris
1951 (24th),Short Film (Animated),The Two Mouseketeers
1951 (24th),Short Film (Live Action),World of Kids
1951 (24th),Short Film (Live Action),Nature's Half Acre
1951 (24th),Sound,The Great Caruso
1951 (24th),Writing,Seven Days to Noon
1951 (24th),Writing,A Place in the Sun
1951 (24th),Writing,An American in Paris
1951 (24th),Irving G. Thalberg Memorial Award,Arthur Freed
1950 (23rd),Actor -- Leading Role,José Ferrer
1950 (23rd),Actor -- Supporting Role,George Sanders
1950 (23rd),Actress -- Leading Role,Judy Holliday
1950 (23rd),Actress -- Supporting Role,Josephine Hull
1950 (23rd),Art Direction,Sunset Blvd.
1950 (23rd),Art Direction,Samson and Delilah
1950 (23rd),Cinematography,The Third Man
1950 (23rd),Cinematography,King Solomon's Mines
1950 (23rd),Costume Design,All about Eve
1950 (23rd),Costume Design,Samson and Delilah
1950 (23rd),Directing,All about Eve
1950 (23rd),Documentary (Feature),The Titan: Story of Michelangelo
1950 (23rd),Documentary (Short Subject),Why Korea?
1950 (23rd),Film Editing,King Solomon's Mines
1950 (23rd),Foreign Language Film,To The Walls of Malapaga - voted by the Board of Governors as the most outstanding foreign language film released in the United States in 1950.
1950 (23rd),Music (Scoring),Sunset Blvd.
1950 (23rd),Music (Scoring),Annie Get Your Gun
1950 (23rd),Music (Song),"Captain Carey, U.S.A."
1950 (23rd),Best Picture,All about Eve
1950 (23rd),Short Film (Animated),Gerald McBoing-Boing
1950 (23rd),Short Film (Live Action),Grandad of Races
1950 (23rd),Short Film (Live Action),In Beaver Valley
1950 (23rd),Sound,All about Eve
1950 (23rd),Writing,Panic in the Streets
1950 (23rd),Writing,All about Eve
1950 (23rd),Writing,Sunset Blvd.
1950 (23rd),Irving G. Thalberg Memorial Award,Darryl F. Zanuck
1949 (22nd),Actor -- Leading Role,Broderick Crawford
1949 (22nd),Actor -- Supporting Role,Dean Jagger
1949 (22nd),Actress -- Leading Role,Olivia de Havilland
1949 (22nd),Actress -- Supporting Role,Mercedes McCambridge
1949 (22nd),Art Direction,The Heiress
1949 (22nd),Art Direction,Little Women
1949 (22nd),Cinematography,Battleground
1949 (22nd),Cinematography,She Wore a Yellow Ribbon
1949 (22nd),Costume Design,The Heiress
1949 (22nd),Costume Design,The Adventures of Don Juan
1949 (22nd),Directing,A Letter to Three Wives
1949 (22nd),Documentary (Feature),Daybreak in Udi
1949 (22nd),Documentary (Short Subject),A Chance to Live
1949 (22nd),Documentary (Short Subject),So Much for So Little
1949 (22nd),Film Editing,Champion
1949 (22nd),Foreign Language Film,To The Bicycle Thief - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949.
1949 (22nd),Music (Scoring),The Heiress
1949 (22nd),Music (Scoring),On the Town
1949 (22nd),Music (Song),Neptune's Daughter
1949 (22nd),Best Picture,All the King's Men
1949 (22nd),Short Film (Animated),For Scent-Imental Reasons
1949 (22nd),Short Film (Live Action),Aquatic House-Party
1949 (22nd),Short Film (Live Action),Van Gogh
1949 (22nd),Sound,Twelve O'Clock High
1949 (22nd),Writing,The Stratton Story
1949 (22nd),Writing,A Letter to Three Wives
1949 (22nd),Writing,Battleground
1948 (21st),Actor -- Leading Role,Laurence Olivier
1948 (21st),Actor -- Supporting Role,Walter Huston
1948 (21st),Actress -- Leading Role,Jane Wyman
1948 (21st),Actress -- Supporting Role,Claire Trevor
1948 (21st),Art Direction,Hamlet
1948 (21st),Art Direction,The Red Shoes
1948 (21st),Cinematography,The Naked City
1948 (21st),Cinematography,Joan of Arc
1948 (21st),Costume Design,Hamlet
1948 (21st),Costume Design,Joan of Arc
1948 (21st),Directing,The Treasure of the Sierra Madre
1948 (21st),Documentary (Feature),The Secret Land
1948 (21st),Documentary (Short Subject),Toward Independence
1948 (21st),Film Editing,The Naked City
1948 (21st),Foreign Language Film,To Monsieur Vincent - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948.
1948 (21st),Music (Scoring),The Red Shoes
1948 (21st),Music (Scoring),Easter Parade
1948 (21st),Music (Song),The Paleface
1948 (21st),Best Picture,Hamlet
1948 (21st),Short Film (Animated),The Little Orphan
1948 (21st),Short Film (Live Action),Symphony of a City
1948 (21st),Short Film (Live Action),Seal Island
1948 (21st),Sound,The Snake Pit
1948 (21st),Writing,The Search
1948 (21st),Writing,The Treasure of the Sierra Madre
1948 (21st),Irving G. Thalberg Memorial Award,Jerry Wald
1947 (20th),Actor -- Leading Role,Ronald Colman
1947 (20th),Actor -- Supporting Role,Edmund Gwenn
1947 (20th),Actress -- Leading Role,Loretta Young
1947 (20th),Actress -- Supporting Role,Celeste Holm
1947 (20th),Art Direction,Great Expectations
1947 (20th),Art Direction,Black Narcissus
1947 (20th),Cinematography,Great Expectations
1947 (20th),Cinematography,Black Narcissus
1947 (20th),Directing,Gentleman's Agreement
1947 (20th),Documentary (Feature),Design for Death
1947 (20th),Documentary (Short Subject),First Steps
1947 (20th),Film Editing,Body and Soul
1947 (20th),Foreign Language Film,"To Shoe-Shine - the high quality of this motion picture, brought to eloquent life in a country scarred by war, is proof to the world that the creative spirit can triumph over adversity."
1947 (20th),Music (Scoring),A Double Life
1947 (20th),Music (Scoring),Mother Wore Tights
1947 (20th),Music (Song),Song of the South
1947 (20th),Best Picture,Gentleman's Agreement
1947 (20th),Short Film (Animated),Tweetie Pie
1947 (20th),Short Film (Live Action),Good-bye Miss Turlock
1947 (20th),Short Film (Live Action),Climbing the Matterhorn
1947 (20th),Sound,The Bishop's Wife
1947 (20th),Writing,Miracle on 34th Street
1947 (20th),Writing,The Bachelor and the Bobby-Soxer
1947 (20th),Writing,Miracle on 34th Street
1946 (19th),Actor -- Leading Role,Fredric March
1946 (19th),Actor -- Supporting Role,Harold Russell
1946 (19th),Actress -- Leading Role,Olivia de Havilland
1946 (19th),Actress -- Supporting Role,Anne Baxter
1946 (19th),Art Direction,Anna and the King of Siam
1946 (19th),Art Direction,The Yearling
1946 (19th),Cinematography,Anna and the King of Siam
1946 (19th),Cinematography,The Yearling
1946 (19th),Directing,The Best Years of Our Lives
1946 (19th),Documentary (Short Subject),Seeds of Destiny
1946 (19th),Film Editing,The Best Years of Our Lives
1946 (19th),Music (Scoring),The Best Years of Our Lives
1946 (19th),Music (Scoring),The Jolson Story
1946 (19th),Music (Song),The Harvey Girls
1946 (19th),Best Picture,The Best Years of Our Lives
1946 (19th),Short Film (Animated),The Cat Concerto
1946 (19th),Short Film (Live Action),Facing Your Danger
1946 (19th),Short Film (Live Action),A Boy and His Dog
1946 (19th),Sound,The Jolson Story
1946 (19th),Writing,Vacation from Marriage
1946 (19th),Writing,The Seventh Veil
1946 (19th),Writing,The Best Years of Our Lives
1946 (19th),Irving G. Thalberg Memorial Award,Samuel Goldwyn
1945 (18th),Actor -- Leading Role,Ray Milland
1945 (18th),Actor -- Supporting Role,James Dunn
1945 (18th),Actress -- Leading Role,Joan Crawford
1945 (18th),Actress -- Supporting Role,Anne Revere
1945 (18th),Art Direction,Blood on the Sun
1945 (18th),Art Direction,Frenchman's Creek
1945 (18th),Cinematography,The Picture of Dorian Gray
1945 (18th),Cinematography,Leave Her to Heaven
1945 (18th),Directing,The Lost Weekend
1945 (18th),Documentary (Feature),The True Glory
1945 (18th),Documentary (Short Subject),Hitler Lives?
1945 (18th),Film Editing,National Velvet
1945 (18th),Music (Scoring),Spellbound
1945 (18th),Music (Scoring),Anchors Aweigh
1945 (18th),Music (Song),State Fair
1945 (18th),Best Picture,The Lost Weekend
1945 (18th),Short Film (Animated),Quiet Please!
1945 (18th),Short Film (Live Action),Stairway to Light
1945 (18th),Short Film (Live Action),Star in the Night
1945 (18th),Sound,The Bells of St. Mary's
1945 (18th),Writing,The House on 92nd Street
1945 (18th),Writing,Marie-Louise
1945 (18th),Writing,The Lost Weekend
1944 (17th),Actor -- Leading Role,Bing Crosby
1944 (17th),Actor -- Supporting Role,Barry Fitzgerald
1944 (17th),Actress -- Leading Role,Ingrid Bergman
1944 (17th),Actress -- Supporting Role,Ethel Barrymore
1944 (17th),Art Direction,Gaslight
1944 (17th),Art Direction,Wilson
1944 (17th),Cinematography,Laura
1944 (17th),Cinematography,Wilson
1944 (17th),Directing,Going My Way
1944 (17th),Documentary (Feature),The Fighting Lady
1944 (17th),Documentary (Short Subject),With the Marines at Tarawa
1944 (17th),Film Editing,Wilson
1944 (17th),Music (Scoring),Since You Went Away
1944 (17th),Music (Scoring),Cover Girl
1944 (17th),Music (Song),Going My Way
1944 (17th),Best Picture,Going My Way
1944 (17th),Short Film (Animated),Mouse Trouble
1944 (17th),Short Film (Live Action),Who's Who in Animal Land
1944 (17th),Short Film (Live Action),I Won't Play
1944 (17th),Sound,Wilson
1944 (17th),Writing,Going My Way
1944 (17th),Writing,Wilson
1944 (17th),Writing,Going My Way
1944 (17th),Irving G. Thalberg Memorial Award,Darryl F. Zanuck
1943 (16th),Actor -- Leading Role,Paul Lukas
1943 (16th),Actor -- Supporting Role,Charles Coburn
1943 (16th),Actress -- Leading Role,Jennifer Jones
1943 (16th),Actress -- Supporting Role,Katina Paxinou
1943 (16th),Art Direction,The Song of Bernadette
1943 (16th),Art Direction,Phantom of the Opera
1943 (16th),Cinematography,The Song of Bernadette
1943 (16th),Cinematography,Phantom of the Opera
1943 (16th),Directing,Casablanca
1943 (16th),Documentary (Feature),Desert Victory
1943 (16th),Documentary (Short Subject),December 7th
1943 (16th),Film Editing,Air Force
1943 (16th),Music (Scoring),The Song of Bernadette
1943 (16th),Music (Scoring),This Is the Army
1943 (16th),Music (Song),"Hello, Frisco, Hello"
1943 (16th),Best Picture,Casablanca
1943 (16th),Short Film (Animated),Yankee Doodle Mouse
1943 (16th),Short Film (Live Action),Amphibious Fighters
1943 (16th),Short Film (Live Action),Heavenly Music
1943 (16th),Sound,This Land Is Mine
1943 (16th),Writing,The Human Comedy
1943 (16th),Writing,Princess O'Rourke
1943 (16th),Writing,Casablanca
1943 (16th),Irving G. Thalberg Memorial Award,Hal B. Wallis
1942 (15th),Actor -- Leading Role,James Cagney
1942 (15th),Actor -- Supporting Role,Van Heflin
1942 (15th),Actress -- Leading Role,Greer Garson
1942 (15th),Actress -- Supporting Role,Teresa Wright
1942 (15th),Art Direction,This above All
1942 (15th),Art Direction,My Gal Sal
1942 (15th),Cinematography,Mrs. Miniver
1942 (15th),Cinematography,The Black Swan
1942 (15th),Directing,Mrs. Miniver
1942 (15th),Film Editing,The Pride of the Yankees
1942 (15th),Music (Scoring),"Now, Voyager"
1942 (15th),Music (Scoring),Yankee Doodle Dandy
1942 (15th),Music (Song),Holiday Inn
1942 (15th),Best Picture,Mrs. Miniver
1942 (15th),Short Film (Animated),Der Fuehrer's Face
1942 (15th),Short Film (Live Action),Speaking of Animals and Their Families
1942 (15th),Short Film (Live Action),Beyond the Line of Duty
1942 (15th),Sound,Yankee Doodle Dandy
1942 (15th),Writing,The Invaders
1942 (15th),Writing,Woman of the Year
1942 (15th),Writing,Mrs. Miniver
1942 (15th),Irving G. Thalberg Memorial Award,Sidney Franklin
1941 (14th),Actor -- Leading Role,Gary Cooper
1941 (14th),Actor -- Supporting Role,Donald Crisp
1941 (14th),Actress -- Leading Role,Joan Fontaine
1941 (14th),Actress -- Supporting Role,Mary Astor
1941 (14th),Art Direction,How Green Was My Valley
1941 (14th),Art Direction,Blossoms in the Dust
1941 (14th),Cinematography,How Green Was My Valley
1941 (14th),Cinematography,Blood and Sand
1941 (14th),Directing,How Green Was My Valley
1941 (14th),Documentary (Feature),"To Rey Scott for his extraordinary achievement in producing Kukan, the film record of China's struggle, including its photography with a 16mm camera under the most difficult and dangerous conditions."
1941 (14th),Documentary (Feature),"To The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film, Target for Tonight."
1941 (14th),Documentary (Short Subject),Churchill's Island
1941 (14th),Film Editing,Sergeant York
1941 (14th),Music (Scoring),All That Money Can Buy
1941 (14th),Music (Scoring),Dumbo
1941 (14th),Music (Song),Lady Be Good
1941 (14th),Best Picture,How Green Was My Valley
1941 (14th),Short Film (Animated),Lend a Paw
1941 (14th),Short Film (Live Action),Of Pups and Puzzles
1941 (14th),Short Film (Live Action),Main Street on the March!
1941 (14th),Sound,That Hamilton Woman
1941 (14th),Writing,Citizen Kane
1941 (14th),Writing,Here Comes Mr. Jordan
1941 (14th),Writing,Here Comes Mr. Jordan
1941 (14th),Irving G. Thalberg Memorial Award,Walt Disney
1940 (13th),Actor -- Leading Role,James Stewart
1940 (13th),Actor -- Supporting Role,Walter Brennan
1940 (13th),Actress -- Leading Role,Ginger Rogers
1940 (13th),Actress -- Supporting Role,Jane Darwell
1940 (13th),Art Direction,Pride and Prejudice
1940 (13th),Art Direction,The Thief of Bagdad
1940 (13th),Cinematography,Rebecca
1940 (13th),Cinematography,The Thief of Bagdad
1940 (13th),Directing,The Grapes of Wrath
1940 (13th),Film Editing,North West Mounted Police
1940 (13th),Music (Scoring),Pinocchio
1940 (13th),Music (Scoring),Tin Pan Alley
1940 (13th),Music (Song),Pinocchio
1940 (13th),Best Picture,Rebecca
1940 (13th),Short Film (Animated),The Milky Way
1940 (13th),Short Film (Live Action),Quicker 'N a Wink
1940 (13th),Short Film (Live Action),"Teddy, the Rough Rider"
1940 (13th),Sound,Strike Up the Band
1940 (13th),Writing,The Great McGinty
1940 (13th),Writing,"Arise, My Love"
1940 (13th),Writing,The Philadelphia Story
1939 (12th),Actor -- Leading Role,Robert Donat
1939 (12th),Actor -- Supporting Role,Thomas Mitchell
1939 (12th),Actress -- Leading Role,Vivien Leigh
1939 (12th),Actress -- Supporting Role,Hattie McDaniel
1939 (12th),Art Direction,Gone with the Wind
1939 (12th),Cinematography,Wuthering Heights
1939 (12th),Cinematography,Gone with the Wind
1939 (12th),Directing,Gone with the Wind
1939 (12th),Film Editing,Gone with the Wind
1939 (12th),Music (Scoring),The Wizard of Oz
1939 (12th),Music (Scoring),Stagecoach
1939 (12th),Music (Song),The Wizard of Oz
1939 (12th),Best Picture,Gone with the Wind
1939 (12th),Short Film (Animated),The Ugly Duckling
1939 (12th),Short Film (Live Action),Busy Little Bears
1939 (12th),Short Film (Live Action),Sons of Liberty
1939 (12th),Sound,When Tomorrow Comes
1939 (12th),Writing,Mr. Smith Goes to Washington
1939 (12th),Writing,Gone with the Wind
1939 (12th),Irving G. Thalberg Memorial Award,David O. Selznick
1938 (11th),Actor -- Leading Role,Spencer Tracy
1938 (11th),Actor -- Supporting Role,Walter Brennan
1938 (11th),Actress -- Leading Role,Bette Davis
1938 (11th),Actress -- Supporting Role,Fay Bainter
